age,men,women,total
Brazil,28,5,33
Kenya,14,11,25
Belgium,6,0,6
Colombia,6,0,6
Portugal,4,7,11
Mexico,4,5,9
Ecuador,4,2,6
Argentina,3,0,3
Ethiopia,2,2,4
United States,2,2,4
Chile,2,0,2
France,2,0,2
Italy,2,0,2
United Kingdom,2,0,2
Yugoslavia,2,0,2
West Germany,1,3,4
Costa Rica,1,0,1
Czechoslovakia,1,0,1
Finland,1,0,1
Uruguay,1,0,1
Serbia and Montenegro,0,2,2
Denmark,0,1,1
